CONTENT,INITIATION DATE,RELEVANT DEPARTMENT,CATEGORY,,,,
진실·화해를 위한 과거사정리 기본법 일부개정법률안,2022.4.28.,진실화해를위한과거사정리위원회,인권/성평등,,,,
가축전염병 예방법 일부개정법률안,2022.4.28.,농림축산식품부,농산어촌,,,,
지방세특례제한법 일부개정법률안,2022.4.28.,행정안전부,행정,,,,
조세특례제한법 일부개정법률안,2022.4.28.,기획재정부,행정,,,,
전통시장 및 상점가 육성을 위한 특별법 일부개정법률안,2022.4.28.,중소벤처기업부,일자리,,,,
한·중남미재단법안,2022.4.28.,외교부,외교/통일/국방,,,,
야생생물 보호 및 관리에 관한 법률 일부개정법률안,2022.4.28.,환경부,안전/환경,,,,
사립학교법 일부개정법률안,2022.4.28.,교육부,육아/교육,,,,
선박의 입항 및 출항 등에 관한 법률 일부개정법률안,2022.4.28.,해양수산부,농산어촌,,,,
항만 재개발 및 주변지역 발전에 관한 법률  일부개정법률안,2022.4.28.,해양수산부,농산어촌,,,,
보훈보상대상자 지원에 관한 법률 일부개정법률안,2022.4.28.,국가보훈처,보건복지,,,,
국가유공자 등 예우 및 지원에 관한 법률 일부개정법률안,2022.4.28.,국가보훈처,보건복지,,,,
독립유공자예우에 관한 법률 일부개정법률안,2022.4.28.,국가보훈처,보건복지,,,,
자동차손해배상 보장법 일부개정법률안,2022.4.28.,국토교통부,교통/건축/국토,,,,
석면피해구제법 일부개정법률안,2022.4.28.,환경부,안전/환경,,,,
정보통신망 이용촉진 및 정보보호 등에 관한 법률 일부개정법률안,2022.4.27.,방송통신위원회,문화/예술/체육/언론,,,,
방송법 일부개정법률안,2022.4.27.,방송통신위원회,문화/예술/체육/언론,,,,
스토킹방지 및 피해자보호 등에 관한 법률안,2022.4.27.,여성가족부,인권/성평등,,,,
국민영양관리법 일부개정법률안,2022.4.27.,보건복지부,보건복지,,,,
한국교육방송공사법 일부개정법률안,2022.4.27.,방송통신위원회,문화/예술/체육/언론,,,,
방송문화진흥회법 일부개정법률안,2022.4.27.,방송통신위원회,문화/예술/체육/언론,,,,
국회법 일부개정법률안,2022.4.27.,법제처,정치개혁,,,,
방송통신위원회의 설치 및 운영에 관한 법률 일부개정법률안,2022.4.27.,방송통신위원회,문화/예술/체육/언론,,,,
정보통신망 이용촉진 및 정보보호 등에 관한 법률 일부개정법률안,2022.4.27.,방송통신위원회,문화/예술/체육/언론,,,,
공직선거법 일부개정법률안,2022.4.27.,중앙선거관리위원회,정치개혁,,,,
국립대학법인 서울대학교 설립·운영에 관한 법률 일부개정법률안,2022.4.27.,교육부,육아/교육,,,,
국립대학법인 인천대학교 설립·운영에 관한 법률 일부개정법률안,2022.4.27.,교육부,육아/교육,,,,
노후신도시 재생 및 개선을 위한 특별법안,2022.4.27.,국토교통부,교통/건축/국토,,,,
국가재정법 일부개정법률안,2022.4.27.,기획재정부,행정,,,,
석면피해구제법 일부개정법률안,2022.4.27.,환경부,안전/환경,,,,
국가정보원법 일부개정법률안,2022.4.27.,국가정보원,정치개혁,,,,
증권관련 집단소송법 일부개정법률안,2022.4.27.,법무부,정치개혁,,,,
공동주택관리법 일부개정법률안,2022.4.27.,국토교통부,교통/건축/국토,,,,
검찰청법 일부개정법률안(대안),2022.4.27.,법무부,정치개혁,,,,
형사소송법 일부개정법률안(대안),2022.4.27.,법무부,정치개혁,,,,
법인세법 일부개정법률안,2022.4.26.,기획재정부,행정,,,,
소득세법 일부개정법률안,2022.4.26.,기획재정부,행정,,,,
지방세법 일부개정법률안,2022.4.26.,행정안전부,행정,,,,
변호사법 일부개정법률안,2022.4.26.,법무부,정치개혁,,,,
자본시장과 금융투자업에 관한 법률 일부개정법률안,2022.4.26.,금융위원회,경제민주화,,,,
부산·울산·경남초광역특별지방자치단체 설치 등에 관한 특별법안,2022.4.26.,행정안전부,행정,,,,
지방세특례제한법 일부개정법률안,2022.4.26.,행정안전부,행정,,,,
지방세특례제한법 일부개정법률안,2022.4.26.,행정안전부,행정,,,,
농촌융복합산업 육성 및 지원에 관한 법률 일부개정법률안,2022.4.26.,농림축산식품부,농산어촌,,,,
농업인등의 농외소득 활동 지원에 관한 법률 일부개정법률안,2022.4.26.,농림축산식품부,농산어촌,,,,
귀농어·귀촌 활성화 및 지원에 관한 법률 일부개정법률안,2022.4.26.,농림축산식품부,농산어촌,,,,
병역법 일부개정법률안,2022.4.26.,병무청,외교/통일/국방,,,,
중소기업제품 구매촉진 및 판로지원에 관한 법률 일부개정법률안,2022.4.26.,중소벤처기업부,일자리,,,,
치매관리법 일부개정법률안,2022.4.26.,보건복지부,보건복지,,,,
수산자원관리법 일부개정법률안,2022.4.25.,해양수산부,농산어촌,,,,
한국해양수산연수원법 일부개정법률안,2022.4.25.,해양수산부,농산어촌,,,,
수산종자산업육성법 일부개정법률안,2022.4.25.,해양수산부,농산어촌,,,,
도로교통법 일부개정법률안,2022.4.25.,경찰청,행정,,,,
조세특례제한법 일부개정법률안,2022.4.25.,기획재정부,행정,,,,
금융소비자 보호에 관한 법률 일부개정법률안,2022.4.25.,금융위원회,경제민주화,,,,
여객자동차 운수사업법 일부개정법률안,2022.4.25.,국토교통부,교통/건축/국토,,,,
장애예술인 문화예술 활동 지원에 관한 법률  일부개정법률안,2022.4.25.,문화체육관광부,문화/예술/체육/언론,,,,
군형법 일부개정법률안,2022.4.22.,국방부,외교/통일/국방,,,,
소년법 일부개정법률안,2022.4.22.,법무부,정치개혁,,,,
형법 일부개정법률안,2022.4.22.,법무부,정치개혁,,,,
인사청문회법 일부개정법률안,2022.4.22.,국회,정치개혁,,,,
장애예술인 문화예술 활동 지원에 관한 법률  일부개정법률안,2022.4.22.,문화체육관광부,문화/예술/체육/언론,,,,
금융지주회사법 일부개정법률안,2022.4.22.,금융위원회,경제민주화,,,,
행정소송법 일부개정법률안,2022.4.22.,법무부,정치개혁,,,,
상속세 및 증여세법 일부개정법률안,2022.4.22.,기획재정부,행정,,,,
공동주택관리법 일부개정법률안,2022.4.22.,국토교통부,교통/건축/국토,,,,
보호관찰 등에 관한 법률 일부개정법률안,2022.4.22.,법무부,정치개혁,,,,
자살예방 및 생명존중문화 조성을 위한 법률 일부개정법률안,2022.4.22.,보건복지부,보건복지,,,,
벤처투자 촉진에 관한 법률  일부개정법률안,2022.4.22.,중소벤처기업부,일자리,,,,
변호사법 일부개정법률안,2022.4.21.,법무부,정치개혁,,,,
디지털 기반의 원격교육 활성화 기본법 일부개정법률안,2022.4.21.,교육부,육아/교육,,,,
부동산 가격공시에 관한 법률 일부개정법률안,2022.4.21.,국토교통부,교통/건축/국토,,,,
조세특례제한법 일부개정법률안,2022.4.21.,기획재정부,행정,,,,
승강기 안전관리법 일부개정법률안,2022.4.21.,행정안전부,행정,,,,
국제입양에 관한 법률안,2022.4.21.,보건복지부,보건복지,,,,
입양특례법 전부개정법률안,2022.4.21.,보건복지부,보건복지,,,,
주택법 일부개정법률안,2022.4.21.,국토교통부,교통/건축/국토,,,,
국토의 계획 및 이용에 관한 법률 일부개정법률안,2022.4.21.,국토교통부,교통/건축/국토,,,,
저작권법 일부개정법률안,2022.4.21.,문화체육관광부,문화/예술/체육/언론,,,,
방송통신발전 기본법 일부개정법률안,2022.4.21.,방송통신위원회,문화/예술/체육/언론,,,,
방송법 일부개정법률안,2022.4.21.,방송통신위원회,문화/예술/체육/언론,,,,
성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안,2022.4.20.,법무부,정치개혁,,,,
치료감호 등에 관한 법률 일부개정법률안,2022.4.20.,법무부,정치개혁,,,,
전자장치 부착 등에 관한 법률 일부개정법률안,2022.4.20.,법무부,정치개혁,,,,
의료기기법 일부개정법률안,2022.4.20.,보건복지부,보건복지,,,,
국가보안법 일부개정법률안,2022.4.20.,법무부,정치개혁,,,,
성폭력범죄자의 성충동 약물치료에 관한 법률 일부개정법률안,2022.4.20.,법무부,정치개혁,,,,
군사기밀 보호법 일부개정법률안,2022.4.20.,국방부,외교/통일/국방,,,,
표시·광고의 공정화에 관한 법률 일부개정법률안,2022.4.20.,공정거래위원회,성장동력,,,,
성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안,2022.4.20.,법무부,정치개혁,,,,
장애인활동 지원에 관한 법률 일부개정법률안,2022.4.20.,보건복지부,보건복지,,,,
집회 및 시위에 관한 법률 일부개정법률안,2022.4.20.,경찰청,행정,,,,
민주평화통일자문회의법 일부개정법률안,2022.4.20.,민주평화통일자문회의사무처,외교/통일/국방,,,,
공직선거법 일부개정법률안,2022.4.20.,중앙선거관리위원회,정치개혁,,,,
법원조직법 일부개정법률안,2022.4.20.,법제처,정치개혁,,,,
각급 법원의 설치와 관할구역에 관한 법률 일부개정법률안,2022.4.20.,법제처,정치개혁,,,,
국가과학기술 경쟁력 강화를 위한 이공계지원 특별법 일부개정법률안,2022.4.20.,과학기술정보통신부,성장동력,,,,
성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안,2022.4.20.,법무부,정치개혁,,,,
공동주택관리법 일부개정법률안,2022.4.20.,국토교통부,교통/건축/국토,,,,
장애인복지법 일부개정법률안,2022.4.20.,보건복지부,보건복지,,,,
장애인 차별조항 정비를 위한 법제사법위원회 소관 7개 법률 일부개정을 위한 법률안,2022.4.19.,법무부,정치개혁,,,,
장애인 차별조항 정비를 위한 국방위원회 소관 2개 법률 일부개정을 위한 법률안,2022.4.19.,국방부,외교/통일/국방,,,,
종합부동산세법 일부개정법률안,2022.4.19.,기획재정부,행정,,,,
장애인 차별조항 정비를 위한 산업통상자원중소벤처기업위원회 소관 6개 법률 일부개정을 위한 법률안,2022.4.19.,산업통상자원부,성장동력,,,,
지방세법 일부개정법률안,2022.4.19.,행정안전부,행정,,,,
장애인 차별조항 정비를 위한 농림축산식품해양수산위원회 소관 6개 법률 일부개정을 위한 법률안,2022.4.19.,해양수산부,농산어촌,,,,
장애인 차별조항 정비를 위한 문화체육관광위원회 소관 4개 법률 일부개정을 위한 법률안,2022.4.19.,문화체육관광부,문화/예술/체육/언론,,,,
장애인 차별조항 정비를 위한 행정안전위원회 소관 6개 법률 일부개정을 위한 법률안,2022.4.19.,행정안전부,행정,,,,
장애인 차별조항 정비를 위한 교육위원회 소관 6개 법률 일부개정을 위한 법률안,2022.4.19.,교육부,육아/교육,,,,
장애인 차별조항 정비를 위한 정무위원회 소관 12개 법률 일부개정을 위한 법률안,2022.4.19.,개인정보보호위원회,인권/성평등,,,,
국립중앙의료원의 설립 및 운영에 관한 법률 일부개정법률안,2022.4.19.,보건복지부,보건복지,,,,
장애인 차별조항 정비를 위한 과학기술정보방송통신위원회 소관 7개 법률 일부개정을 위한 법률안,2022.4.19.,과학기술정보통신부,성장동력,,,,
장애인 차별조항 정비를 위한 기획재정위원회 소관 4개 법률 일부개정을 위한 법률안,2022.4.19.,기획재정부,행정,,,,
장애인 차별조항 정비를 위한 국토교통위원회 소관 4개 법률 일부개정을 위한 법률안,2022.4.19.,국토교통부,교통/건축/국토,,,,
장애인 차별조항 정비를 위한 외교통일위원회 소관 2개 법률 일부개정을 위한 법률안,2022.4.19.,외교부,외교/통일/국방,,,,
장애인 차별조항 정비를 위한 환경노동위원회 소관 4개 법률 일부개정을 위한 법률안,2022.4.19.,고용노동부,일자리,,,,
경찰공제회법 일부개정법률안,2022.4.19.,경찰청,행정,,,,
스토킹 피해자 보호 및 지원에 관한 법률안,2022.4.19.,여성가족부,인권/성평등,,,,
신용보증기금법 일부개정법률안,2022.4.19.,금융위원회,경제민주화,,,,
근로복지기본법 일부개정법률안,2022.4.18.,고용노동부,일자리,,,,
한국인공지능·반도체공과대학교법안,2022.4.18.,산업통상자원부,성장동력,,,,
정보통신망 이용촉진 및 정보보호 등에 관한 법률 일부개정법률안,2022.4.18.,방송통신위원회,문화/예술/체육/언론,,,,
공직선거법 일부개정법률안,2022.4.18.,중앙선거관리위원회,정치개혁,,,,
발전소주변지역 지원에 관한 법률 일부개정법률안,2022.4.18.,산업통상자원부,성장동력,,,,
정치자금법 일부개정법률안,2022.4.18.,법제처,정치개혁,,,,
의료법 일부개정법률안,2022.4.18.,보건복지부,보건복지,,,,
국회법 일부개정법률안,2022.4.18.,법제처,정치개혁,,,,
대통령기록물 관리에 관한 법률 일부개정법률안,2022.4.18.,행정안전부,행정,,,,
인사청문회법 일부개정법률안,2022.4.18.,법제처,정치개혁,,,,
대통령직 인수에 관한 법률 일부개정법률안,2022.4.18.,행정안전부,행정,,,,
부가가치세법 일부개정법률안,2022.4.18.,기획재정부,행정,,,,
조세특례제한법 일부개정법률안,2022.4.18.,기획재정부,행정,,,,
주식회사 등의 외부감사에 관한 법률 일부개정법률안,2022.4.18.,금융위원회,경제민주화,,,,
군인보수법 일부개정법률안,2022.4.18.,국방부,외교/통일/국방,,,,
사회적 참사의 진상규명 및 안전사회 건설 등을 위한 특별법 일부개정법률안,2022.4.15.,가습기살균제사건과세월호참사특별조사위원회,안전/환경,,,,
초·중등교육법 일부개정법률안,2022.4.15.,교육부,육아/교육,,,,
청소년 보호법 일부개정법률안,2022.4.15.,여성가족부,인권/성평등,,,,
보험업법 일부개정법률안,2022.4.15.,금융위원회,경제민주화,,,,
공직선거법 일부개정법률안(대안),2022.4.15.,중앙선거관리위원회,정치개혁,,,,
정치자금법 일부개정법률안(대안),2022.4.15.,법제처,정치개혁,,,,
5·18민주화운동 진상규명을 위한 특별법 일부개정법률안,2022.4.15.,민주화운동진상규명조사위원회,인권/성평등,,,,
채용절차의 공정화에 관한 법률 일부개정법률안,2022.4.15.,고용노동부,일자리,,,,
공직선거법 일부개정법률안,2022.4.15.,중앙선거관리위원회,정치개혁,,,,
형의 집행 및 수용자의 처우에 관한 법률 일부개정법률안,2022.4.15.,법무부,정치개혁,,,,
근로자참여 및 협력증진에 관한 법률 일부개정법률안,2022.4.15.,고용노동부,일자리,,,,
국방개혁에 관한 법률 일부개정법률안,2022.4.15.,국방부,외교/통일/국방,,,,
신에너지 및 재생에너지 개발·이용·보급 촉진법 일부개정법률안,2022.4.15.,산업통상자원부,성장동력,,,,
형사소송법 일부개정법률안,2022.4.15.,법무부,정치개혁,,,,
군인사법 일부개정법률안,2022.4.15.,국방부,외교/통일/국방,,,,
검찰청법 일부개정법률안,2022.4.15.,법무부,정치개혁,,,,
대규모유통업에서의 거래 공정화에 관한 법률 일부개정법률안,2022.4.15.,공정거래위원회,성장동력,,,,
성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안,2022.4.15.,법무부,정치개혁,,,,
지방교부세법 일부개정법률안,2022.4.15.,행정안전부,행정,,,,
국회법 일부개정법률안,2022.4.15.,법제처,정치개혁,,,,
함정의 운항안전성 인증에 관한 법률안,2022.4.15.,국방부,외교/통일/국방,,,,
고엽제후유의증 등 환자지원 및 단체설립에 관한 법률 일부개정법률안,2022.4.15.,국가보훈처,보건복지,,,,
공연법 일부개정법률안(대안),2022.4.14.,문화체육관광부,문화/예술/체육/언론,,,,
문화재보호법 일부개정법률안(대안),2022.4.14.,문화재청,문화/예술/체육/언론,,,,
독서문화진흥법 일부개정법률안(대안),2022.4.14.,문화체육관광부,문화/예술/체육/언론,,,,
관광진흥법 일부개정법률안(대안),2022.4.14.,문화체육관광부,문화/예술/체육/언론,,,,
공군 20전투비행단 이예람 중사 사망 사건 관련 군 내 성폭력 및 2차 피해 등의 진상규명을 위한 특별검사 임명 등에 관한 법률안(대안),2022.4.14.,,#N/A,,,,
해양생태계의 보전 및 관리에 관한 법률 일부개정법률안,2022.4.14.,해양수산부,농산어촌,,,,
가정폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안,2022.4.14.,여성가족부,인권/성평등,,,,
남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안,2022.4.14.,고용노동부,일자리,,,,
공직선거법 일부개정법률안,2022.4.14.,중앙선거관리위원회,정치개혁,,,,
동물보호법 일부개정법률안,2022.4.14.,농림축산식품부,농산어촌,,,,
대규모유통업에서의 거래 공정화에 관한 법률 일부개정법률안,2022.4.14.,공정거래위원회,성장동력,,,,
가맹사업거래의 공정화에 관한 법률 일부개정법률안,2022.4.14.,공정거래위원회,성장동력,,,,
아동·청소년의 성보호에 관한 법률 일부개정법률안,2022.4.14.,여성가족부,인권/성평등,,,,
개인정보 보호법 일부개정법률안,2022.4.14.,개인정보보호위원회,인권/성평등,,,,
석유 및 석유대체연료 사업법 일부개정법률안,2022.4.14.,산업통상자원부,성장동력,,,,
조세특례제한법 일부개정법률안,2022.4.14.,기획재정부,행정,,,,
전기통신사업법 일부개정법률안,2022.4.14.,과학기술정보통신부,성장동력,,,,
성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안,2022.4.14.,법무부,정치개혁,,,,
조세특례제한법 일부개정법률안,2022.4.14.,기획재정부,행정,,,,
공익사업을 위한 토지 등의 취득 및 보상에 관한 법률 일부개정법률안,2022.4.14.,국토교통부,교통/건축/국토,,,,
