CONTENT,INITIATION DATE,RELEVANT DEPARTMENT,CATEGORY,,,,
고용보험 및 산업재해보상보험의 보험료징수 등에 관한 법률 일부개정법률안(대안),2021.7.22.,고용노동부,일자리,,,,
한국농어촌공사 및 농지관리기금법 일부개정법률안(대안),2021.7.22.,농림축산식품부,농산어촌,,,,
수입식품안전관리 특별법 일부개정법률안(대안),2021.7.22.,식품의약품안전처,안전/환경,,,,
근로자직업능력 개발법 일부개정법률안(대안),2021.7.22.,고용노동부,일자리,,,,
환경분야 시험·검사 등에 관한 법률 일부개정법률안(대안),2021.7.22.,환경부,안전/환경,,,,
국민연금과 직역연금의 연계에 관한 법률 일부개정법률안(대안),2021.7.22.,보건복지부,보건복지,,,,
원양산업발전법 일부개정법률안(대안),2021.7.22.,해양수산부,농산어촌,,,,
산업안전보건법 일부개정법률안(대안),2021.7.22.,고용노동부,일자리,,,,
우주개발 진흥법 일부개정법률안(대안),2021.7.22.,과학기술정보통신부,성장동력,,,,
항만안전특별법안(대안),2021.7.22.,,#N/A,,,,
주택법 일부개정법률안(대안),2021.7.22.,국토교통부,교통/건축/국토,,,,
도시 및 주거환경정비법 일부개정법률안(대안),2021.7.22.,국토교통부,교통/건축/국토,,,,
지역 산업위기 대응 및 지역경제 회복을 위한 특별법안(대안),2021.7.22.,,#N/A,,,,
공익사업을 위한 토지 등의 취득 및 보상에 관한 법률 일부개정법률안(대안),2021.7.22.,국토교통부,교통/건축/국토,,,,
발명진흥법 일부개정법률안(대안),2021.7.22.,특허청,기타,,,,
대·중소기업 상생협력 촉진에 관한 법률 일부개정법률안(대안),2021.7.22.,중소벤처기업부,일자리,,,,
공동주택관리법 일부개정법률안(대안),2021.7.22.,국토교통부,교통/건축/국토,,,,
사립학교법 일부개정법률안(대안),2021.7.22.,교육부,육아/교육,,,,
상표법 일부개정법률안(대안),2021.7.22.,특허청,기타,,,,
국민체육진흥법 일부개정법률안(대안),2021.7.22.,문화체육관광부,문화/예술/체육/언론,,,,
소득세법 일부개정법률안(대안),2021.7.22.,기획재정부,행정,,,,
문화기본법 일부개정법률안(대안),2021.7.22.,문화체육관광부,문화/예술/체육/언론,,,,
특허법 일부개정법률안(대안),2021.7.22.,특허청,기타,,,,
출입국관리법 일부개정법률안(대안),2021.7.22.,법무부,정치개혁,,,,
스포츠기본법안(대안),2021.7.22.,,#N/A,,,,
디자인보호법 일부개정법률안(대안),2021.7.22.,특허청,기타,,,,
체육인 복지법안(대안),2021.7.22.,,#N/A,,,,
하도급거래 공정화에 관한 법률 일부개정법률안(대안),2021.7.22.,공정거래위원회,성장동력,,,,
고엽제후유의증 등 환자지원 및 단체설립에 관한 법률 일부개정법률안(대안),2021.7.22.,국가보훈처,보건복지,,,,
동물보호법 일부개정법률안,2021.7.22.,농림축산식품부,농산어촌,,,,
교통시설특별회계법 일부개정법률안,2021.7.22.,국토교통부,교통/건축/국토,,,,
먹는물관리법 일부개정법률안,2021.7.22.,환경부,안전/환경,,,,
여신전문금융업법 일부개정법률안,2021.7.22.,금융위원회,경제민주화,,,,
공동주택 리모델링 및 지원에 관한 특별법안,2021.7.22.,국토교통부,교통/건축/국토,,,,
의무복무 제대군인 지원에 관한 기본법안,2021.7.22.,국가보훈처,보건복지,,,,
형법 일부개정법률안,2021.7.22.,법무부,정치개혁,,,,
한국철도공사법 일부개정법률안,2021.7.22.,국토교통부,교통/건축/국토,,,,
지방세특례제한법 일부개정법률안,2021.7.22.,행정안전부,행정,,,,
동물보호법 일부개정법률안,2021.7.22.,농림축산식품부,농산어촌,,,,
형법 일부개정법률안,2021.7.22.,법무부,정치개혁,,,,
건축물관리법 일부개정법률안,2021.7.22.,국토교통부,교통/건축/국토,,,,
공직선거법 일부개정법률안,2021.7.22.,중앙선거관리위원회,정치개혁,,,,
고용정책 기본법 일부개정법률안,2021.7.22.,고용노동부,일자리,,,,
소음·진동관리법 일부개정법률안,2021.7.22.,환경부,안전/환경,,,,
지방공무원법 일부개정법률안,2021.7.22.,행정안전부,행정,,,,
고등교육법 일부개정법률안,2021.7.22.,교육부,육아/교육,,,,
국가공무원법 일부개정법률안,2021.7.22.,인사혁신처,행정,,,,
국민연금법 일부개정법률안,2021.7.22.,보건복지부,보건복지,,,,
정보통신망 이용촉진 및 정보보호 등에 관한 법률 일부개정법률안,2021.7.22.,방송통신위원회,문화/예술/체육/언론,,,,
해운법 일부개정법률안,2021.7.22.,해양수산부,농산어촌,,,,
건축법 일부개정법률안,2021.7.22.,국토교통부,교통/건축/국토,,,,
비료관리법 일부개정법률안,2021.7.22.,농림축산식품부,농산어촌,,,,
국가경찰과 자치경찰의 조직 및 운영에 관한 법률 일부개정법률안,2021.7.21.,경찰청,행정,,,,
국가유공자 등 예우 및 지원에 관한 법률 일부개정법률안,2021.7.21.,국가보훈처,보건복지,,,,
공공단체등 위탁선거에 관한 법률 일부개정법률안,2021.7.21.,법제처,정치개혁,,,,
지방재정법 일부개정법률안,2021.7.21.,행정안전부,행정,,,,
새마을금고법 일부개정법률안,2021.7.21.,행정안전부,행정,,,,
지방소멸위기지역 지원 특별법안,2021.7.21.,행정안전부,행정,,,,
아동복지법 일부개정법률안,2021.7.21.,보건복지부,보건복지,,,,
자원의 절약과 재활용촉진에 관한 법률 일부개정법률안,2021.7.21.,환경부,안전/환경,,,,
선거관리위원회법 일부개정법률안,2021.7.21.,중앙선거관리위원회,정치개혁,,,,
국민건강증진법 일부개정법률안,2021.7.21.,보건복지부,보건복지,,,,
정부업무평가 기본법 일부개정법률안,2021.7.21.,국무조정실,행정,,,,
형의 집행 및 수용자의 처우에 관한 법률 일부개정법률안,2021.7.21.,법무부,정치개혁,,,,
자연환경보전법 일부개정법률안,2021.7.21.,환경부,안전/환경,,,,
해양사고의 조사 및 심판에 관한 법률 일부개정법률안,2021.7.21.,해양수산부,농산어촌,,,,
신에너지 및 재생에너지 개발·이용·보급 촉진법 일부개정법률안,2021.7.21.,산업통상자원부,성장동력,,,,
지방교부세법 일부개정법률안,2021.7.21.,행정안전부,행정,,,,
대규모유통업에서의 거래 공정화에 관한 법률 일부개정법률안,2021.7.21.,공정거래위원회,성장동력,,,,
농수산물 유통 및 가격안정에 관한 법률 일부개정법률안,2021.7.21.,농림축산식품부,농산어촌,,,,
법원조직법 일부개정법률안,2021.7.20.,법제처,정치개혁,,,,
군사정전에 관한 협정 체결 이후 납북피해자의 보상 및 지원에 관한 법률 일부개정법률안,2021.7.20.,통일부,외교/통일/국방,,,,
다자녀가구의 자녀 양육ㆍ교육 지원 등에 관한 특별법안,2021.7.20.,보건복지부,보건복지,,,,
동물보호법 일부개정법률안,2021.7.20.,농림축산식품부,농산어촌,,,,
국민건강증진법 일부개정법률안,2021.7.20.,보건복지부,보건복지,,,,
농수산물 유통 및 가격안정에 관한 법률 일부개정법률안,2021.7.20.,농림축산식품부,농산어촌,,,,
지방세특례제한법 일부개정법률안,2021.7.20.,행정안전부,행정,,,,
제대군인지원에 관한 법률 일부개정법률안,2021.7.20.,국가보훈처,보건복지,,,,
지방세법 일부개정법률안,2021.7.20.,행정안전부,행정,,,,
보훈보상대상자 지원에 관한 법률 일부개정법률안,2021.7.20.,국가보훈처,보건복지,,,,
국가유공자 등 예우 및 지원에 관한 법률 일부개정법률안,2021.7.20.,국가보훈처,보건복지,,,,
철도사업법 일부개정법률안,2021.7.20.,국토교통부,교통/건축/국토,,,,
국가철도공단법 일부개정법률안,2021.7.20.,국토교통부,교통/건축/국토,,,,
독립유공자예우에 관한 법률 일부개정법률안,2021.7.20.,국가보훈처,보건복지,,,,
보험업법 일부개정법률안,2021.7.20.,금융위원회,경제민주화,,,,
화학물질관리법 일부개정법률안,2021.7.20.,환경부,안전/환경,,,,
지방세특례제한법 일부개정법률안,2021.7.20.,행정안전부,행정,,,,
학교보건법 일부개정법률안,2021.7.20.,교육부,육아/교육,,,,
도로교통법 일부개정법률안,2021.7.20.,경찰청,행정,,,,
영유아보육법 일부개정법률안,2021.7.20.,보건복지부,보건복지,,,,
국유재산특례제한법 일부개정법률안,2021.7.20.,기획재정부,행정,,,,
방사광가속기 구축 및 지원에 관한 특별법안,2021.7.20.,과학기술정보통신부,성장동력,,,,
도로교통법 일부개정법률안,2021.7.20.,경찰청,행정,,,,
게임산업진흥에 관한 법률 일부개정법률안,2021.7.20.,문화체육관광부,문화/예술/체육/언론,,,,
주택도시기금법 일부개정법률안,2021.7.20.,국토교통부,교통/건축/국토,,,,
개발이익 환수에 관한 법률 일부개정법률안,2021.7.20.,국토교통부,교통/건축/국토,,,,
아동복지법 일부개정법률안,2021.7.20.,보건복지부,보건복지,,,,
조세특례제한법 일부개정법률안,2021.7.19.,기획재정부,행정,,,,
출입국관리법 일부개정법률안,2021.7.19.,법무부,정치개혁,,,,
주택도시기금법 일부개정법률안,2021.7.19.,국토교통부,교통/건축/국토,,,,
택지소유상한에 관한 법률안,2021.7.19.,국토교통부,교통/건축/국토,,,,
국회법 일부개정법률안,2021.7.19.,법제처,정치개혁,,,,
종합부동산세법 일부개정법률안,2021.7.19.,기획재정부,행정,,,,
교통약자의 이동편의 증진법 일부개정법률안,2021.7.19.,국토교통부,교통/건축/국토,,,,
여신전문금융업법 일부개정법률안,2021.7.19.,금융위원회,경제민주화,,,,
여객자동차 운수사업법 일부개정법률안,2021.7.19.,국토교통부,교통/건축/국토,,,,
개발제한구역의 지정 및 관리에 관한 특별조치법 일부개정법률안,2021.7.19.,국토교통부,교통/건축/국토,,,,
전공의의 수련환경 개선 및 지위 향상을 위한 법률 일부개정법률안,2021.7.19.,보건복지부,보건복지,,,,
보건의료인력지원법  일부개정법률안,2021.7.19.,보건복지부,보건복지,,,,
국민건강증진법 일부개정법률안,2021.7.19.,보건복지부,보건복지,,,,
인공지능에 관한 법률안,2021.7.19.,과학기술정보통신부,성장동력,,,,
전기공사업법 일부개정법률안,2021.7.19.,산업통상자원부,성장동력,,,,
변호사법 일부개정법률안,2021.7.19.,법무부,정치개혁,,,,
용산공원 조성 특별법 일부개정법률안,2021.7.19.,국토교통부,교통/건축/국토,,,,
중소기업협동조합법 일부개정법률안,2021.7.19.,중소벤처기업부,일자리,,,,
아동·청소년의 성보호에 관한 법률 일부개정법률안,2021.7.19.,여성가족부,인권/성평등,,,,
부정청탁 및 금품등 수수의 금지에 관한 법률 일부개정법률안,2021.7.19.,국민권익위원회,인권/성평등,,,,
남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안,2021.7.19.,고용노동부,일자리,,,,
조세특례제한법 일부개정법률안,2021.7.19.,기획재정부,행정,,,,
식물방역법 일부개정법률안,2021.7.19.,농림축산식품부,농산어촌,,,,
지방자치단체를 당사자로 하는 계약에 관한 법률 일부개정법률안,2021.7.19.,행정안전부,행정,,,,
장사 등에 관한 법률 일부개정법률안,2021.7.19.,보건복지부,보건복지,,,,
아동복지법 일부개정법률안,2021.7.19.,보건복지부,보건복지,,,,
입양특례법 일부개정법률안,2021.7.19.,보건복지부,보건복지,,,,
영유아보육법 일부개정법률안,2021.7.19.,보건복지부,보건복지,,,,
아동복지법 일부개정법률안,2021.7.19.,보건복지부,보건복지,,,,
양육비 이행확보 및 지원에 관한 법률 일부개정법률안,2021.7.19.,여성가족부,인권/성평등,,,,
자살예방 및 생명존중문화 조성을 위한 법률 일부개정법률안,2021.7.16.,보건복지부,보건복지,,,,
폐기물처리시설 설치촉진 및 주변지역지원 등에 관한 법률 일부개정법률안,2021.7.16.,환경부,안전/환경,,,,
소방공무원 보건안전 및 복지 기본법 일부개정법률안,2021.7.16.,소방청,안전/환경,,,,
변호사법 일부개정법률안,2021.7.16.,법무부,정치개혁,,,,
군인의 지위 및 복무에 관한 기본법 일부개정법률안,2021.7.16.,국방부,외교/통일/국방,,,,
경찰공무원법 일부개정법률안,2021.7.16.,경찰청,행정,,,,
인사청문회법 일부개정법률안,2021.7.16.,법제처,정치개혁,,,,
해양경찰법 일부개정법률안,2021.7.16.,해양경찰청,행정,,,,
국회법 일부개정법률안,2021.7.16.,법제처,정치개혁,,,,
국가경찰과 자치경찰의 조직 및 운영에 관한 법률 일부개정법률안,2021.7.16.,경찰청,행정,,,,
조세특례제한법 일부개정법률안,2021.7.16.,기획재정부,행정,,,,
경찰관 직무집행법 일부개정법률안,2021.7.16.,경찰청,행정,,,,
정부조직법 일부개정법률안,2021.7.16.,행정안전부,행정,,,,
국가안전정보처 설치 및 운영에 관한 법률안,2021.7.16.,,#N/A,,,,
군사법원법 일부개정법률안,2021.7.16.,국방부,외교/통일/국방,,,,
영유아보육법 일부개정법률안,2021.7.16.,보건복지부,보건복지,,,,
양육비 이행확보 및 지원에 관한 법률 일부개정법률안,2021.7.16.,여성가족부,인권/성평등,,,,
병역법 일부개정법률안,2021.7.16.,병무청,외교/통일/국방,,,,
국민체육진흥법 일부개정법률안,2021.7.16.,문화체육관광부,문화/예술/체육/언론,,,,
국민체육진흥법 일부개정법률안,2021.7.16.,문화체육관광부,문화/예술/체육/언론,,,,
아동복지법 일부개정법률안,2021.7.16.,보건복지부,보건복지,,,,
관세법 일부개정법률안,2021.7.16.,기획재정부,행정,,,,
독점규제 및 공정거래에 관한 법률 일부개정법률안,2021.7.16.,공정거래위원회,성장동력,,,,
종합부동산세법 일부개정법률안,2021.7.15.,기획재정부,행정,,,,
국가재정법 일부개정법률안,2021.7.15.,기획재정부,행정,,,,
식품 등의 표시ㆍ광고에 관한 법률 일부개정법률안,2021.7.15.,식품의약품안전처,안전/환경,,,,
부동산서비스산업 진흥법 일부개정법률안,2021.7.15.,국토교통부,교통/건축/국토,,,,
청소년복지 지원법 일부개정법률안,2021.7.15.,여성가족부,인권/성평등,,,,
국가연구개발사업 등의 성과평가 및 성과관리에 관한 법률 일부개정법률안,2021.7.15.,과학기술정보통신부,성장동력,,,,
체육시설의 설치·이용에 관한 법률 일부개정법률안,2021.7.15.,문화체육관광부,문화/예술/체육/언론,,,,
정치자금법 일부개정법률안,2021.7.15.,법제처,정치개혁,,,,
근로기준법 일부개정법률안,2021.7.15.,고용노동부,일자리,,,,
국가식품클러스터의 육성 및 지원에 관한 특별법안,2021.7.15.,농림축산식품부,농산어촌,,,,
공공단체등 위탁선거에 관한 법률 일부개정법률안,2021.7.15.,법제처,정치개혁,,,,
건설기술 진흥법 일부개정법률안,2021.7.15.,국토교통부,교통/건축/국토,,,,
생활화학제품 및 살생물제의 안전관리에 관한 법률 일부개정법률안,2021.7.15.,환경부,안전/환경,,,,
공공주택 특별법 일부개정법률안,2021.7.15.,국토교통부,교통/건축/국토,,,,
전기통신사업법 일부개정법률안,2021.7.15.,방송통신위원회,문화/예술/체육/언론,,,,
전자금융거래법 일부개정법률안,2021.7.14.,금융위원회,경제민주화,,,,
주택법 일부개정법률안,2021.7.14.,국토교통부,교통/건축/국토,,,,
장애인활동 지원에 관한 법률 일부개정법률안,2021.7.14.,보건복지부,보건복지,,,,
고위공직자범죄수사처 설치 및 운영에 관한 법률 일부개정법률안,2021.7.14.,고위공직자범죄수사처,정치개혁,,,,
교육공무원법 일부개정법률안,2021.7.14.,교육부,육아/교육,,,,
감염병의 예방 및 관리에 관한 법률 일부개정법률안,2021.7.14.,질병관리청,안전/환경,,,,
건축법 일부개정법률안,2021.7.14.,국토교통부,교통/건축/국토,,,,
문화재보호법 일부개정법률안,2021.7.14.,문화재청,문화/예술/체육/언론,,,,
미술진흥법안,2021.7.14.,문화체육관광부,문화/예술/체육/언론,,,,
공직선거법 일부개정법률안,2021.7.14.,중앙선거관리위원회,정치개혁,,,,
미디어교육 활성화에 관한 법률안,2021.7.14.,교육부,육아/교육,,,,
응급의료에 관한 법률 일부개정법률안,2021.7.14.,보건복지부,보건복지,,,,
전기통신사업법 일부개정법률안,2021.7.14.,과학기술정보통신부,성장동력,,,,
헌법재판소법 일부개정법률안,2021.7.14.,법제처,정치개혁,,,,
장애인·노인·임산부 등의 편의증진 보장에 관한 법률 일부개정법률안,2021.7.14.,보건복지부,보건복지,,,,
국제연합 평화유지활동 참여에 관한 법률 일부개정법률안,2021.7.14.,외교부,외교/통일/국방,,,,
건설산업기본법 일부개정법률안,2021.7.14.,국토교통부,교통/건축/국토,,,,
최저임금법 일부개정법률안,2021.7.14.,고용노동부,일자리,,,,
야생생물 보호 및 관리에 관한 법률 일부개정법률안,2021.7.14.,환경부,안전/환경,,,,
동물원 및 수족관의 관리에 관한 법률 전부개정법률안,2021.7.14.,환경부,안전/환경,,,,
범죄수익은닉의 규제 및 처벌 등에 관한 법률 일부개정법률안,2021.7.14.,법무부,정치개혁,,,,
공직자의 이해충돌 방지법 일부개정법률안,2021.7.14.,국민권익위원회,인권/성평등,,,,
하도급거래 공정화에 관한 법률 일부개정법률안,2021.7.14.,공정거래위원회,성장동력,,,,
형법 일부개정법률안,2021.7.14.,법무부,정치개혁,,,,
도로교통법 일부개정법률안,2021.7.14.,경찰청,행정,,,,
법원조직법 일부개정법률안,2021.7.14.,법제처,정치개혁,,,,
지방세특례제한법 일부개정법률안,2021.7.13.,행정안전부,행정,,,,
시설물의 안전 및 유지관리에 관한 특별법 일부개정법률안,2021.7.13.,국토교통부,교통/건축/국토,,,,
우주개발 진흥법 일부개정법률안,2021.7.13.,과학기술정보통신부,성장동력,,,,
정부조직법 일부개정법률안,2021.7.13.,행정안전부,행정,,,,
재난 및 안전관리 기본법 일부개정법률안,2021.7.13.,행정안전부,행정,,,,
국회법 일부개정법률안,2021.7.12.,법제처,정치개혁,,,,
독점규제 및 공정거래에 관한 법률 일부개정법률안,2021.7.12.,공정거래위원회,성장동력,,,,
주거기본법 일부개정법률안,2021.7.12.,국토교통부,교통/건축/국토,,,,
5·18민주화운동 등에 관한 특별법 일부개정법률안,2021.7.12.,법무부,정치개혁,,,,
지방재정법 일부개정법률안,2021.7.12.,행정안전부,행정,,,,
지방회계법 일부개정법률안,2021.7.12.,행정안전부,행정,,,,
지방자치단체 기금관리기본법 일부개정법률안,2021.7.12.,행정안전부,행정,,,,
의료법 일부개정법률안,2021.7.12.,보건복지부,보건복지,,,,
선거관리위원회법 일부개정법률안,2021.7.12.,중앙선거관리위원회,정치개혁,,,,
공직선거법 일부개정법률안,2021.7.12.,중앙선거관리위원회,정치개혁,,,,
특정강력범죄의 처벌에 관한 특례법 일부개정법률안,2021.7.12.,법무부,정치개혁,,,,
조세특례제한법 일부개정법률안,2021.7.12.,기획재정부,행정,,,,
생활화학제품 및 살생물제의 안전관리에 관한 법률 일부개정법률안,2021.7.12.,환경부,안전/환경,,,,
정의로운전환기금설치에 관한 법률안,2021.7.12.,,#N/A,,,,
교통시설특별회계법 일부개정법률안,2021.7.12.,국토교통부,교통/건축/국토,,,,
환경정책기본법 일부개정법률안,2021.7.12.,환경부,안전/환경,,,,
교통·에너지·환경세법 전부개정법률안,2021.7.12.,기획재정부,행정,,,,
정보통신공사업법 일부개정법률안,2021.7.12.,과학기술정보통신부,성장동력,,,,
상속세 및 증여세법 일부개정법률안,2021.7.12.,기획재정부,행정,,,,
장애인복지법 일부개정법률안,2021.7.12.,보건복지부,보건복지,,,,
중소기업 기술혁신 촉진법 일부개정법률안,2021.7.12.,중소벤처기업부,일자리,,,,
수의사법 일부개정법률안,2021.7.12.,농림축산식품부,농산어촌,,,,
영유아보육법 일부개정법률안,2021.7.12.,보건복지부,보건복지,,,,
부동산 거래신고 등에 관한 법률 일부개정법률안,2021.7.12.,국토교통부,교통/건축/국토,,,,
지역신문발전지원 특별법 일부개정법률안,2021.7.12.,문화체육관광부,문화/예술/체육/언론,,,,
노인장기요양보험법 일부개정법률안,2021.7.9.,보건복지부,보건복지,,,,
자본시장과 금융투자업에 관한 법률 일부개정법률안,2021.7.9.,금융위원회,경제민주화,,,,
가상자산 거래 및 이용자 보호 등에 관한 법률안,2021.7.9.,금융위원회,경제민주화,,,,
군형법 일부개정법률안,2021.7.9.,국방부,외교/통일/국방,,,,
클라우드컴퓨팅 발전 및 이용자 보호에 관한 법률 일부개정법률안,2021.7.9.,과학기술정보통신부,성장동력,,,,
데이터기반행정 활성화에 관한 법률  일부개정법률안,2021.7.9.,행정안전부,행정,,,,
정보통신기반 보호법 일부개정법률안,2021.7.9.,과학기술정보통신부,성장동력,,,,
변호사법 일부개정법률안,2021.7.9.,법무부,정치개혁,,,,
국가기술자격법 일부개정법률안,2021.7.9.,고용노동부,일자리,,,,
사행산업통합감독위원회법 일부개정법률안,2021.7.9.,문화체육관광부,문화/예술/체육/언론,,,,
화학물질관리법 일부개정법률안,2021.7.9.,환경부,안전/환경,,,,
미세먼지 저감 및 관리에 관한 특별법 일부개정법률안,2021.7.9.,환경부,안전/환경,,,,
게임산업진흥에 관한 법률 일부개정법률안,2021.7.9.,문화체육관광부,문화/예술/체육/언론,,,,
물관리기본법  일부개정법률안,2021.7.9.,환경부,안전/환경,,,,
국가초고성능컴퓨터 활용 및 육성에 관한 법률 일부개정법률안,2021.7.9.,과학기술정보통신부,성장동력,,,,
감염병의 예방 및 관리에 관한 법률 일부개정법률안,2021.7.9.,질병관리청,안전/환경,,,,
농어업·농어촌특별위원회 설치 및 운영에 관한 법률 일부개정법률안,2021.7.9.,농림축산식품부,농산어촌,,,,
대도시권 광역교통 관리에 관한 특별법 일부개정법률안,2021.7.9.,국토교통부,교통/건축/국토,,,,
지속가능발전법 일부개정법률안,2021.7.9.,환경부,안전/환경,,,,
저탄소 녹색성장 기본법 일부개정법률안,2021.7.9.,국무조정실,행정,,,,
항공사업법 일부개정법률안,2021.7.9.,국토교통부,교통/건축/국토,,,,
개인정보 보호법 일부개정법률안,2021.7.9.,개인정보보호위원회,인권/성평등,,,,
도로교통법 일부개정법률안,2021.7.9.,경찰청,행정,,,,
지방세법 일부개정법률안,2021.7.9.,행정안전부,행정,,,,
방송법 일부개정법률안,2021.7.9.,방송통신위원회,문화/예술/체육/언론,,,,
장애예술인 문화예술 활동 지원에 관한 법률  일부개정법률안,2021.7.9.,문화체육관광부,문화/예술/체육/언론,,,,
폐기물관리법 일부개정법률안,2021.7.9.,환경부,안전/환경,,,,
자원순환기본법 일부개정법률안,2021.7.9.,환경부,안전/환경,,,,
환경영향평가법 일부개정법률안,2021.7.9.,환경부,안전/환경,,,,
장애인고용촉진 및 직업재활법 일부개정법률안,2021.7.9.,고용노동부,일자리,,,,
인터넷 멀티미디어 방송사업법 일부개정법률안,2021.7.9.,과학기술정보통신부,성장동력,,,,
방송법 일부개정법률안,2021.7.9.,과학기술정보통신부,성장동력,,,,
한국교육방송공사법 일부개정법률안,2021.7.9.,방송통신위원회,문화/예술/체육/언론,,,,
아동복지법 일부개정법률안,2021.7.9.,보건복지부,보건복지,,,,
청소년 보호법 일부개정법률안,2021.7.9.,여성가족부,인권/성평등,,,,
지방재정법 일부개정법률안,2021.7.9.,행정안전부,행정,,,,
청소년 보호법 일부개정법률안,2021.7.9.,여성가족부,인권/성평등,,,,
새마을금고법 일부개정법률안,2021.7.9.,행정안전부,행정,,,,
공공단체등 위탁선거에 관한 법률 일부개정법률안,2021.7.9.,법제처,정치개혁,,,,
건설산업기본법 일부개정법률안,2021.7.9.,국토교통부,교통/건축/국토,,,,
문화예술진흥법 일부개정법률안,2021.7.9.,문화체육관광부,문화/예술/체육/언론,,,,
통일교육 지원법 일부개정법률안,2021.7.8.,통일부,외교/통일/국방,,,,
여객자동차 운수사업법 일부개정법률안,2021.7.8.,국토교통부,교통/건축/국토,,,,
주거기본법 일부개정법률안,2021.7.8.,국토교통부,교통/건축/국토,,,,
건설산업기본법 일부개정법률안,2021.7.8.,국토교통부,교통/건축/국토,,,,
공동주택관리법 일부개정법률안,2021.7.8.,국토교통부,교통/건축/국토,,,,
가사소송법 일부개정법률안,2021.7.8.,법무부,정치개혁,,,,
수도권정비계획법 일부개정법률안,2021.7.8.,국토교통부,교통/건축/국토,,,,
민법 일부개정법률안,2021.7.8.,법무부,정치개혁,,,,
해양사고의 조사 및 심판에 관한 법률 일부개정법률안,2021.7.8.,해양수산부,농산어촌,,,,
국난극복을 위한 상생협력연대기금법안,2021.7.8.,국무조정실,행정,,,,
공동주택관리법 일부개정법률안,2021.7.8.,국토교통부,교통/건축/국토,,,,
민원 처리에 관한 법률 일부개정법률안,2021.7.8.,행정안전부,행정,,,,
원자력안전법 일부개정법률안,2021.7.8.,원자력안전위원회,안전/환경,,,,
자원봉사활동 기본법 일부개정법률안,2021.7.8.,행정안전부,행정,,,,
공직선거법 일부개정법률안,2021.7.8.,중앙선거관리위원회,정치개혁,,,,
5·18민주화운동 관련자 보상 등에 관한 법률 일부개정법률안,2021.7.8.,행정안전부,행정,,,,
국가인권위원회법 일부개정법률안,2021.7.8.,국가인권위원회,인권/성평등,,,,
민사집행법 일부개정법률안,2021.7.8.,법무부,정치개혁,,,,
공항소음 방지 및 소음대책지역 지원에 관한 법률 일부개정법률안,2021.7.8.,국토교통부,교통/건축/국토,,,,
군사법원법 일부개정법률안,2021.7.8.,국방부,외교/통일/국방,,,,
부패방지 및 국민권익위원회의 설치와 운영에 관한 법률 일부개정법률안,2021.7.8.,국민권익위원회,인권/성평등,,,,
형사소송법 일부개정법률안,2021.7.8.,법무부,정치개혁,,,,
고용보험 및 산업재해보상보험의 보험료징수 등에 관한 법률 일부개정법률안,2021.7.8.,고용노동부,일자리,,,,
도시재생 활성화 및 지원에 관한 특별법 일부개정법률안,2021.7.8.,국토교통부,교통/건축/국토,,,,
도시 및 주거환경정비법 일부개정법률안,2021.7.8.,국토교통부,교통/건축/국토,,,,
남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안,2021.7.8.,고용노동부,일자리,,,,
건축물관리법 일부개정법률안,2021.7.8.,국토교통부,교통/건축/국토,,,,
화학물질관리법 일부개정법률안,2021.7.7.,환경부,안전/환경,,,,
상속세 및 증여세법 일부개정법률안,2021.7.7.,기획재정부,행정,,,,
외국인투자 촉진법 일부개정법률안,2021.7.7.,산업통상자원부,성장동력,,,,
여신전문금융업법 일부개정법률안,2021.7.7.,금융위원회,경제민주화,,,,
폐기물처리시설 설치촉진 및 주변지역지원 등에 관한 법률 일부개정법률안,2021.7.7.,환경부,안전/환경,,,,
부정청탁 및 금품등 수수의 금지에 관한 법률 일부개정법률안,2021.7.7.,국민권익위원회,인권/성평등,,,,
소방기본법 일부개정법률안,2021.7.7.,소방청,안전/환경,,,,
전통시장 및 상점가 육성을 위한 특별법 일부개정법률안,2021.7.7.,중소벤처기업부,일자리,,,,
군인의 지위 및 복무에 관한 기본법 일부개정법률안,2021.7.7.,국방부,외교/통일/국방,,,,
자원의 절약과 재활용촉진에 관한 법률 일부개정법률안,2021.7.7.,환경부,안전/환경,,,,
건축물관리법 일부개정법률안,2021.7.7.,국토교통부,교통/건축/국토,,,,
건설산업기본법 일부개정법률안,2021.7.7.,국토교통부,교통/건축/국토,,,,
종합부동산세법 일부개정법률안,2021.7.7.,기획재정부,행정,,,,
조세특례제한법 일부개정법률안,2021.7.7.,기획재정부,행정,,,,
형사소송법 일부개정법률안,2021.7.7.,법무부,정치개혁,,,,
조세특례제한법 일부개정법률안,2021.7.7.,기획재정부,행정,,,,
민원 처리에 관한 법률 일부개정법률안,2021.7.7.,행정안전부,행정,,,,
생활화학제품 및 살생물제의 안전관리에 관한 법률 일부개정법률안,2021.7.7.,환경부,안전/환경,,,,
방위사업법 일부개정법률안,2021.7.7.,국방부,외교/통일/국방,,,,
섬 발전 촉진법 일부개정법률안,2021.7.7.,행정안전부,행정,,,,
아동복지법 일부개정법률안,2021.7.6.,보건복지부,보건복지,,,,
소득세법 일부개정법률안,2021.7.6.,기획재정부,행정,,,,
농어업재해보험법 일부개정법률안,2021.7.6.,농림축산식품부,농산어촌,,,,
도로교통법 일부개정법률안,2021.7.6.,경찰청,행정,,,,
